adm3_en,adm2_en,num_map_tank,num_tank,asc_map_dad,asc_dad,asc_func,asc_damaged,asc_nonfunc,asc_pop,asc_fam,asc_pop_func,asc_pop_damaged,asc_pop_nonfunc,asc_fam_func,asc_fam_damaged,asc_cas,asc_tank_irri,asc_tank_agri,asc_tank_agri_day,asc_tank_agri_com,asc_tank_agri_day_com,asc_reno,asc_breached,asc_needreno,asc_good,asc_bundreha,asc_sluice,asc_sluice2,asc_spill,asc_spill2,asc_length1,asc_length2,asc_length3,asc_length4,asc_length5
Galgamuwa,Kurunegala,350,270,80.486534,85.049385,58.777775,0.85733885,41.222225,26482,7610,61.160789,0.43845296,38.839211,57.293476,0.46357134,25,0.057613168,0.076817557,0.19615911,0.019204389,0.058984909,8.1330585,3.7792895,42.798512,18.441891,0,46.4417,3.0301783,62.820305,0.067215361,0.18159787,0.032010581,0.13038096,0.026455026,9.52381E-05
Ganewatta,Kurunegala,199,165,98.000046,97.590454,82.644623,0.091827363,17.355375,14377,4309,83.985153,0.024871375,16.014849,83.060822,0.021800742,0.71992648,0.26078972,0.35629019,0.14692378,0.033057854,0.058769517,10.247546,0.44893378,45.702663,15.28766,0,51.144169,0.94031227,27.166208,0.003673095,0.17590986,0.095507845,0.10245165,0.00246688,0
Giribawa,Kurunegala,243,190,71.865738,70.030472,67.412743,1.5955679,32.587257,21637,6344,69.598038,1.1080434,30.401964,67.894737,1.0811708,13.573407,0.11357341,0.18836565,0.22437674,0.038781166,0.044321332,3.3614423,12.634569,58.992889,4.318182,0,33.518005,2.1717451,46.096954,0.13573407,0.11860515,0.020814382,0.22094434,0.020814382,0.000779727
Ibbagamuwa,Kurunegala,211,195,97.176613,96.946747,59.1716,0.67324132,40.8284,17021,5161,61.778889,0.4729,38.221111,60.214928,0.43084475,5.8093357,0.45759371,0.47863251,0.010519396,0.007889547,0.002629849,11.51467,0.76790226,33.330677,26.042248,0,56.057858,0.3182117,37.86982,0,0.17559849,0.12599345,0.053688176,0.000874954,2.43043E-05
Kobeigane,Kurunegala,281,196,99.28952,100,81.551956,0.041649312,18.448044,20576,5691,83.380432,0.042351697,16.61957,80.245667,0.073872462,2.3427739,0.16139108,0.22126198,0.25510204,0.007809246,0.002603082,7.0748301,0.43992087,32.072575,17.592884,0,58.569344,0.16659725,70.012497,0.002603082,0.22775802,0.081505552,0.13742828,0.004085264,0
Kotawehera,Kurunegala,429,282,89.124161,91.670441,74.253052,0.15215532,25.746944,22274,17294,74.301208,0.038527254,25.698795,81.755577,0.011728742,79.855141,0.022634678,0.075448923,0.16347267,0.012574821,0.10185605,35.872799,1.7730497,11.606818,55.652306,0,10.185604,0.15215532,6.8859715,0.020119714,0.23329861,0.061135083,0.14621666,0.013225545,3.30639E-05
Kuliyapitiya East,Kurunegala,106,96,100,100,71.191406,1.312934,28.808594,12579,3653,71.060402,1.4018902,28.9396,70.193161,1.5714823,0.69444442,0.7595486,0.80295134,0.09765625,0.021701388,0.09765625,4.7851563,0.27126735,34.027779,13.2921,0,71.191406,0.53168404,64.333771,0,0.14946935,0.10062893,0.09443789,0.001572327,0
Kuliyapitiya West,Kurunegala,100,94,98.010002,97.883659,70.631508,1.1317338,29.36849,13853,3843,73.30442,0.81017858,26.695578,72.626938,0.76679897,0.55454957,0.71299231,0.79221368,0.14712539,0.022634676,0.022634676,7.2271047,2.960222,46.854267,15.660032,0,61.973743,0.28293344,70.631508,0.045269351,0.10893617,0.17021278,0.051489361,0.002659575,0.000106383
Kurunegala,Kurunegala,48,40,100,100,95.0625,0.0625,4.9375,6800,2299,96.410294,0.027941177,3.589704,96.609398,0.022836016,1,2,2,0.25,0,0.125,24.391891,12,33.409092,10.588235,0,72.25,0.0625,42.25,0.0625,0.25208333,0.063020833,0.088020831,0.002083333,0
Maho,Kurunegala,789,686,100,100,61.049393,0.17870954,38.950607,55516,15270,59.35355,0.11102307,40.64645,63.059906,0.099386938,15.376459,0.056099072,0.060773995,0.067998879,0.000637489,0.013174783,5.7463384,0.61301571,43.862541,13.646268,0,45.356102,0.46940476,64.046654,0.030599495,0.10909665,0.078403115,0.12585773,0.009313557,0.000118244
